iter	Logloss	Logloss
0	0.5646611685	0.5646611685
1	0.4767893981	0.4767893981
2	0.4152212771	0.4152212771
3	0.3745755377	0.3745755377
4	0.3447765259	0.3447765259
5	0.3239357137	0.3239357137
6	0.3097415096	0.3097415096
7	0.2997643404	0.2997643404
8	0.2927076548	0.2927076548
9	0.2870252492	0.2870252492
10	0.282883325	0.282883325
11	0.2793786925	0.2793786925
12	0.2769102513	0.2769102513
13	0.2749510291	0.2749510291
14	0.2734409615	0.2734409615
15	0.272118376	0.272118376
16	0.2712522144	0.2712522144
17	0.2705927914	0.2705927914
18	0.2699028781	0.2699028781
19	0.2694355666	0.2694355666
20	0.2689935885	0.2689935885
21	0.2685920753	0.2685920753
22	0.2682515825	0.2682515825
23	0.2679955979	0.2679955979
24	0.2677590928	0.2677590928
25	0.2675718174	0.2675718174
26	0.2673859936	0.2673859936
27	0.2671200706	0.2671200706
28	0.2669015125	0.2669015125
29	0.2666887239	0.2666887239
30	0.2664867399	0.2664867399
31	0.2663289873	0.2663289873
32	0.2662100094	0.2662100094
33	0.2660987555	0.2660987555
34	0.2659187111	0.2659187111
35	0.2657787293	0.2657787293
36	0.2656425647	0.2656425647
37	0.2655239716	0.2655239716
38	0.2653860085	0.2653860085
39	0.2652868715	0.2652868715
40	0.2651911819	0.2651911819
41	0.2650968922	0.2650968922
42	0.2649925297	0.2649925297
43	0.2649163868	0.2649163868
44	0.2648160663	0.2648160663
45	0.2647044351	0.2647044351
46	0.2646207776	0.2646207776
47	0.2645453844	0.2645453844
48	0.264436237	0.264436237
49	0.2643161423	0.2643161423
50	0.2641933237	0.2641933237
51	0.2640990848	0.2640990848
52	0.2640216898	0.2640216898
53	0.2639387363	0.2639387363
54	0.2638671115	0.2638671115
55	0.2637897546	0.2637897546
56	0.2636994462	0.2636994462
57	0.2636189861	0.2636189861
58	0.2635421087	0.2635421087
59	0.2634773717	0.2634773717
60	0.2634103946	0.2634103946
61	0.2633091486	0.2633091486
62	0.2632250615	0.2632250615
63	0.2631517754	0.2631517754
64	0.263128651	0.263128651
65	0.263078143	0.263078143
66	0.2630360801	0.2630360801
67	0.2629602944	0.2629602944
68	0.2628620084	0.2628620084
69	0.2627779189	0.2627779189
70	0.2626939259	0.2626939259
71	0.2626103101	0.2626103101
72	0.2625270745	0.2625270745
73	0.2624640506	0.2624640506
74	0.2623764919	0.2623764919
75	0.2622347228	0.2622347228
76	0.2621575163	0.2621575163
77	0.2620671535	0.2620671535
78	0.2619795462	0.2619795462
79	0.2619533482	0.2619533482
80	0.2618908631	0.2618908631
81	0.2617923587	0.2617923587
82	0.26173082	0.26173082
83	0.261660669	0.261660669
84	0.2615871175	0.2615871175
85	0.2615180121	0.2615180121
86	0.2614735994	0.2614735994
87	0.2614063378	0.2614063378
88	0.2613519708	0.2613519708
89	0.2612562515	0.2612562515
90	0.2611977629	0.2611977629
91	0.2611204493	0.2611204493
92	0.2610300368	0.2610300368
93	0.2609513062	0.2609513062
94	0.2609193801	0.2609193801
95	0.2608276507	0.2608276507
96	0.2607779506	0.2607779506
97	0.2607339001	0.2607339001
98	0.2606878678	0.2606878678
99	0.2606048015	0.2606048015
100	0.2605251799	0.2605251799
101	0.2604740163	0.2604740163
102	0.2604127942	0.2604127942
103	0.260318796	0.260318796
104	0.2602785604	0.2602785604
105	0.2602356239	0.2602356239
106	0.2601812115	0.2601812115
107	0.2600836517	0.2600836517
108	0.2600152583	0.2600152583
109	0.2599462298	0.2599462298
110	0.2598831443	0.2598831443
111	0.2598080432	0.2598080432
112	0.2597416365	0.2597416365
113	0.2596945689	0.2596945689
114	0.2596096521	0.2596096521
115	0.2595492134	0.2595492134
116	0.2594431009	0.2594431009
117	0.2593952509	0.2593952509
118	0.2593290796	0.2593290796
119	0.2592979678	0.2592979678
120	0.259242164	0.259242164
121	0.2591977591	0.2591977591
122	0.2591764161	0.2591764161
123	0.2591210394	0.2591210394
124	0.259059536	0.259059536
125	0.2589756158	0.2589756158
126	0.2589268496	0.2589268496
127	0.2588545988	0.2588545988
128	0.2588096683	0.2588096683
129	0.2587127806	0.2587127806
130	0.2586556536	0.2586556536
131	0.2585554747	0.2585554747
132	0.2584910793	0.2584910793
133	0.2584162077	0.2584162077
134	0.2583799093	0.2583799093
135	0.2583367252	0.2583367252
136	0.2582631281	0.2582631281
137	0.2581992803	0.2581992803
138	0.2581288271	0.2581288271
139	0.2580525283	0.2580525283
140	0.2580043243	0.2580043243
141	0.2579297339	0.2579297339
142	0.2578316257	0.2578316257
143	0.2577534487	0.2577534487
144	0.2576965215	0.2576965215
145	0.2576353265	0.2576353265
146	0.2575639709	0.2575639709
147	0.25750264	0.25750264
148	0.2574406675	0.2574406675
149	0.2574119822	0.2574119822
150	0.2573278526	0.2573278526
151	0.2572984227	0.2572984227
152	0.2572372559	0.2572372559
153	0.2571870752	0.2571870752
154	0.2571173482	0.2571173482
155	0.2570556264	0.2570556264
156	0.2570209362	0.2570209362
157	0.2569620825	0.2569620825
158	0.2569223442	0.2569223442
159	0.2568658919	0.2568658919
160	0.2568104926	0.2568104926
161	0.2567718117	0.2567718117
162	0.2567115278	0.2567115278
163	0.2566581403	0.2566581403
164	0.2566084355	0.2566084355
165	0.2565328757	0.2565328757
166	0.2564622049	0.2564622049
167	0.2563964811	0.2563964811
168	0.2563334381	0.2563334381
169	0.2562692873	0.2562692873
170	0.2562123223	0.2562123223
171	0.2561600777	0.2561600777
172	0.2560774481	0.2560774481
173	0.2559960737	0.2559960737
174	0.255947917	0.255947917
175	0.2559233514	0.2559233514
176	0.2558743558	0.2558743558
177	0.2558207089	0.2558207089
178	0.2557489911	0.2557489911
179	0.2556908269	0.2556908269
180	0.2556438871	0.2556438871
181	0.2555893417	0.2555893417
182	0.2555390307	0.2555390307
